University;Theme;Service;Tool;Tool_Description;Importance;Service_Description;;;
UniGe;Network;Federated Wireless Network;EduRoam;;0;"The federated wireless network provides simple and secure connectivity from many hotspots across several countries and in different locations : campus, but also libraries, museum, coffee shops, etc. 
The authentication is done by the user's home institution.";;;
UCA;Network;Federated Wireless Network;EduRoam;;0;"The federated wireless network provides simple and secure connectivity from many hotspots across several countries and in different locations : campus, but also libraries, museum, coffee shops, etc. 
The authentication is done by the user's home institution.";;;
USE ;Network;Federated Wireless Network;EduRoam;;;"The federated wireless network provides simple and secure connectivity from many hotspots across several countries and in different locations : campus, but also libraries, museum, coffee shops, etc. 
The authentication is done by the user's home institution.";;;
MCI;Network;VPN;OpenVPN;VPN available to staff;Core;"Virtual Private Network.
The VPN filters the data flows. It secures the connection and ensures a high level of confidentiality.
Different VPN can be used in function of the usage (professors, IT students, etc.).";;;
UniGe;Network;VPN;Fortinet;Securize connection;Core;"Virtual Private Network.
The VPN filters the data flows. It secures the connection and ensures a high level of confidentiality.
Different VPN can be used in function of the usage (professors, IT students, etc.).";;;
UCA;Network;VPN;Cisco ASA and Anyway VPN;;Core;"Virtual Private Network.
The VPN filters the data flows. It secures the connection and ensures a high level of confidentiality.
Different VPN can be used in function of the usage (professors, IT students, etc.).";;;
USE ;Network;VPN;OpenVPN;VPN services to professor;Core;"Virtual Private Network.
The VPN filters the data flows. It secures the connection and ensures a high level of confidentiality.
Different VPN can be used in function of the usage (professors, IT students, etc.).";;;
USE ;Network;VPN;F5 VPN;VPN services to IT providers;Core;"Virtual Private Network.
The VPN filters the data flows. It secures the connection and ensures a high level of confidentiality.
Different VPN can be used in function of the usage (professors, IT students, etc.).";;;
TUKE;Network;VPN;Checkpoint VPN;;Core;"Virtual Private Network.
The VPN filters the data flows. It secures the connection and ensures a high level of confidentiality.
Different VPN can be used in function of the usage (professors, IT students, etc.).";;;
TUKE;Network;VPN;Site-to-Site VPN;Interconnect securely partner-s university networks;Core;"Virtual Private Network.
The VPN filters the data flows. It secures the connection and ensures a high level of confidentiality.
Different VPN can be used in function of the usage (professors, IT students, etc.).";;;
UniGe;Network;Web remote access;UnigeProxy;;0;The web remote access allows the authorized users to consult reserved Electronic Resources from any other location outside the University network.;;;
USE ;Personal Page ;Personal page ;Sevius.us.es;Self-developed internal information platform providing access to personal and academic information;Core;The users have their personal page where they can access personal and academic information.;;;
MCI;Publications;Library;MCI library;Internal library ;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
MCI;Publications;Library;EBSCOhost;Provides search across various publication databases ;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
MCI;Publications;Library;OBVSG Primo;Enable search for almost all literature available in Austrian Academic Libraries;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
UniGe;Publications;Library;Unopertutto;;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
UniGe;Publications;Library;PandoraCampus;manuals and textbooks for digital lending;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
UniGe;Publications;Library;IRIS;UniGe publication repository;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
UCA;Publications;Library;HAL;;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
UCA;Publications;Library;Scopus;;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
UCA;Publications;Library;Ezproxy;EZproxy allows libraries to deliver e-content to users simply, effectively, and securely no matter where or when they’re searching;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
USE ;Publications;Library;bib.us.es;It manages subscription;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
USE ;Publications;Library;fecyt.es;Access to researcher to almost all scientific literature ;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
USE ;Publications;Library;bibliometria.us.es/prisma;It collects and publishes research publications from Scopus, Research Gate, Google Scholarof all USE researchers;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
TUKE;Publications;Library;Project NISPEZ;National Information System for Support Research and Development in Slovakia;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
TUKE;Publications;Library;Full-text databases;ACM Digital Library, IEEE Xplore Digital Library, Science Direct, Springer LINK, Knovel Library, Wiley Online Library;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
TUKE;Publications;Library;Bibliographic scientometric databases;Web of Science, Scopus access to the GALE publishing house's databases;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
UCA;Publications;Publication repository ;HAL;National open archive where authors can deposit scholarly documents from all academic fields.;Important;"The researchers can submit their publications from all academics fields in the publication repositories.
This service includes the peer reviews platforms as well.";;;
USE ;Publications;Publication repository ;idus.us.es;Public scientific publication repository;Important;"The researchers can submit their publications from all academics fields in the publication repositories.
This service includes the peer reviews platforms as well.";;;
TUKE;Publications;Publication repository ;Publons;Peer review platform for teachers and researchers ;Important;"The researchers can submit their publications from all academics fields in the publication repositories.
This service includes the peer reviews platforms as well.";;;
MCI;Publications;Search engine;EDS (EBSCO Discovery Service);;0;"The search engines provide search across various publication databases.
The users can thus access publications from different databases, through one research.";;;
MCI;Publications;Search engine;Google scholar;;0;"The search engines provide search across various publication databases.
The users can thus access publications from different databases, through one research.";;;
UniGe;Resources management;Cloud computational resources;Internal / external cloud services;"- IaaS PaaS SaaS platform
- Also Cloud based services (Azure, GCP, AWS)";Normal;This service provides access to cloud computational resources to run processing jobs.;;;
UniGe;Resources management;Cloud computational resources;Microsoft 365 Unige Cloud;;Normal;This service provides access to cloud computational resources to run processing jobs.;;;
USE ;Resources management;Cloud computational resources;IaaS/ PaaS;;Normal;This service provides access to cloud computational resources to run processing jobs.;;;
TUKE;Resources management;Cloud computational resources;Private cloud;PaaS and IaaS ;Normal;This service provides access to cloud computational resources to run processing jobs.;;;
TUKE;Resources management;Cloud computational resources;Public cloud;;Normal;This service provides access to cloud computational resources to run processing jobs.;;;
MCI;Resources management;External computational resources;JupyterHub;;Normal;This service provides access to external computational resources to run processing jobs.;;;
MCI;Resources management;External computational resources;VSC-4;Vienna Scientific Cluster is a Collaboration & communication of several Austrian universities that provides supercomputer resources;Normal;This service provides access to external computational resources to run processing jobs.;;;
UniGe;Resources management;External computational resources;HPC Centrers;Co-working local-regional agreements;Normal;This service provides access to external computational resources to run processing jobs.;;;
UCA;Resources management;External computational resources;OPAL project convention (Ecole des Mines, INRIA, MSI, OCA);;Normal;This service provides access to external computational resources to run processing jobs.;;;
USE ;Resources management;External computational resources;GEANT-OCRE;Researchers can purchase GEANT-OCRE resources.;Normal;This service provides access to external computational resources to run processing jobs.;;;
USE ;Resources management;External computational resources;CICA (Andalusian Scientific Informatics Center) ;;Normal;This service provides access to external computational resources to run processing jobs.;;;
TUKE;Resources management;External computational resources;Supercomputer center;;Normal;This service provides access to external computational resources to run processing jobs.;;;
UCA;Resources management;Material resources booking ;Visual Planning;To book the technological platform of IMREDD;Important;The researchers and PhD student can view the available slots for the equipments and book an equipment on a specific time.;;;
UCA;Resources management;Material resources booking ;ADE;To book the medical experiments rooof TIRO MATO;Important;The researchers and PhD student can view the available slots for the equipments and book an equipment on a specific time.;;;
USE ;Resources management;Material resources booking ;citius.us.es;USE share facilities are published on Research Services web site ;Important;The researchers and PhD student can view the available slots for the equipments and book an equipment on a specific time.;;;
TUKE;Resources management;Material resources booking ;Laboratory webpage;;Important;The researchers and PhD student can view the available slots for the equipments and book an equipment on a specific time.;;;
TUKE;Resources management;Material resources booking ;Innovation Hub webpage;;Important;The researchers and PhD student can view the available slots for the equipments and book an equipment on a specific time.;;;
UniGe;Resources management;Procurement ;Mepa;National centralized purchasing abd e-procurement;Normal;The procurement service allows the users to purchase online end request material acquisition, for the research projects.;;;
UniGe;Resources management;Procurement ;"
Sintel";National centralized purchasing abd e-procurement;Normal;The procurement service allows the users to purchase online end request material acquisition, for the research projects.;;;
UniGe;Resources management;Procurement ;U-GOV;Financial ERP;Normal;The procurement service allows the users to purchase online end request material acquisition, for the research projects.;;;
USE ;Resources management;Procurement ;UXXI-EC;Financial module - ERP : Request material acquisition for research ;Normal;The procurement service allows the users to purchase online end request material acquisition, for the research projects.;;;
TUKE;Resources management;Software resources;Matlab TAH;;Normal;Researchers should be able to acquire software licenses in the scope of their researchs.;;;
TUKE;Resources management;Software resources;Ansys;;Normal;Researchers should be able to acquire software licenses in the scope of their researchs.;;;
MCI;Support;Catalogue;University web platform;Web platform mci.edu/en/university/services;Core;The users can access the catalogue of services of the universites to find the list of available services, and informations about these services.;;;
UniGe;Support;Catalogue;University web platform;Web platform unige.it / cedia.unige.it;Core;The users can access the catalogue of services of the universites to find the list of available services, and informations about these services.;;;
UCA;Support;Catalogue;University web platform;Web platform univ-cotedazur.fr;Core;The users can access the catalogue of services of the universites to find the list of available services, and informations about these services.;;;
UCA;Support;Catalogue;GLPI;;Core;The users can access the catalogue of services of the universites to find the list of available services, and informations about these services.;;;
USE ;Support;Catalogue;University web platform;"website : sic.us.es
Services catalogue and documentation";Core;The users can access the catalogue of services of the universites to find the list of available services, and informations about these services.;;;
TUKE;Support;Catalogue;University web platform;"website : nastavenia.tuke.sk
Service catalog ";Core;The users can access the catalogue of services of the universites to find the list of available services, and informations about these services.;;;
TUKE;Support;Catalogue;University web platform;"website : uvt.tuke.sk
Information's about IT services";Core;The users can access the catalogue of services of the universites to find the list of available services, and informations about these services.;;;
MCI;Support;Catalogue;University web platform;"website : helpdesk.mci.edu
Service catalog and FAQ";Core;The users can access the catalogue of services of the universites to find the list of available services, and informations about these services.;;;
UniGe;Support;Ticket system;OTRS;;Core;"The ticket systems are used by the users whenever they have a difficulty with the services.
The user raises a ticket about an issue or a question; the support team receives and processes the ticket to resolve the issue.
The list of issues are managed and maintened through the ticket system.";;;
USE ;Support;Ticket system;Remedy (sos.us.es platform);ServiceDesk base on Remedy ;Core;"The ticket systems are used by the users whenever they have a difficulty with the services.
The user raises a ticket about an issue or a question; the support team receives and processes the ticket to resolve the issue.
The list of issues are managed and maintened through the ticket system.";;;
TUKE;Support;Ticket system;University web platform;Web platform helpdesk.tuke.sk;Core;"The ticket systems are used by the users whenever they have a difficulty with the services.
The user raises a ticket about an issue or a question; the support team receives and processes the ticket to resolve the issue.
The list of issues are managed and maintened through the ticket system.";;;
TUKE;System Security;Email SPAM filtering;Cisco ESA;;Normal;All the emails are assessed to be automatically categorized as SPAM or non-SPAM.;;;
TUKE;System Security;Monitoring;CheckMK;;Core;ICT engineers can monitor the smooth execution of ICT services.;;;
