Journey ;ID;Code V0;Code VF;Experience;Theme;Service;Epic;Description;User;Priority;WP;Cartography 
Cross Journeys Innovation;104;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-9;ENTREPRENEURSHIP;Support;Innovation Support Desk  ;Request support on my start-up project ;;Entrepreneur;V1.1;T.2.6;Ticket management
Cross Journeys Innovation;105;EXTERNAL INNOVATION ECOSYSTEMV1.1;EXTERNAL INNOVATION ECOSYSTEMV1.1-1;EXTERNAL INNOVATION ECOSYSTEM;Support;Innovation Support Desk  ;Contact the innovation hub regarding a research related query ;;All users;V1.1;T.5.2;Contact information
Cross Journeys Innovation;106;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-10;ENTREPRENEURSHIP;Support;Innovation Support Desk  ;Manage the queries received for the Innovation Hubs ;Centralize the queries, assign the queries to the relevant innovation hub, review the query, close a query ;Admin staff;V1.1;T.5.2;Ticket management
Cross Journeys Onboarding;107;INFORMATIONV1.1;INFORMATIONV1.1-21;INFORMATION;Career management;Job Board;Create and update work opportunities for admin staff and professors across the Alliance;Create / Remove / update a job offer and its description;Admin staff;V1.1;T.6.1;Job posting
Cross Journeys Onboarding;108;INFORMATIONV1.1;INFORMATIONV1.1-22;INFORMATION;Career management;Job Board;Search for opened teaching positions across the Alliance ;Browse and search the teaching positions available across the Alliance universities by country, teaching field, posting date, required experience, physical versus online teaching, or keywords;Professor;V1.1;T.6.1;Job search
Cross Journeys Onboarding;109;INFORMATIONV1.1;INFORMATIONV1.1-23;INFORMATION;Career management;Job Board;Search for available trainings across the Alliance;Browse and search the available trainings available across the Alliance universities by country, key competency(ies), physical versus online training, pre-requisites, cost, or keywords;All users;V1.1;T.6.1;Registration Management 
Cross Journeys Onboarding;110;INFORMATIONV1.1;INFORMATIONV1.1-24;INFORMATION;Career management;Job Board;Search for opened administration positions across the Alliance ;Browse and search the admin positions available across the Alliance, by country, category, posting date, required experience, or keywords;Admin staff;V1.1;T.6.1;Job search
Cross Journeys Exit Program;111;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-4;EXIT A PROGRAM;Career management;Job Board;Upload / Create a job opportunity ;Upload a list of available positions and / or create a job opportunity with its description, location, etc.;Admin staff;V1.1;T.6.6;Job search
Cross Journeys Exit Program;112;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-5;EXIT A PROGRAM;Career management;Job Board;Find a job opportunity ;Search and access a consolidated list of jobs available across the Alliance countries, filter the results based on my field of study, my study cycle, country, or keywords ;Student;V1.1;T.6.6;Job search
Cross Journeys Exit Program;113;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-6;EXIT A PROGRAM;Career management;Job Board;Upload / Create an internship opportunity;Upload a list of internship opportunities and / or create an internship opportunity with its description, location, etc.;Admin staff;V1.1;T.3.2;Job posting
Cross Journeys Exit Program;114;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-7;EXIT A PROGRAM;Career management;Job Board;Find an internship opportunity;Search and access a consolidated list of internships available across the Alliance countries, filter the results based on my field of study, my study cycle, country, other key words ;Student;V1.1;T.3.2;Job search
Cross Journeys Exit Program;115;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-8;EXIT A PROGRAM;Career management;Job Board;Create an academic opportunity for post-doctoral students across the Alliance;Upload a list of postdoctoral positions or create an add with the name of the university, a description of the position, pre-requites ;Admin staff;V1.1;T.6.6;Job posting
Cross Journeys Exit Program;116;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-9;EXIT A PROGRAM;Career management;Job Board;Review the academic opportunities for post-doctoral students across the Alliance ;Browse and search the post-doctoral positions available across the Alliance by field of research, country, university, or keyword;PhD students;V1.1;T.6.6;Job search
Cross Journeys Exit Program;117;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-10;EXIT A PROGRAM;Career management;Job Board;Apply to a post-doctoral opportunity within the Alliance;Select a position, fill an application, upload the required documentation, save the application, review the application ;PhD students;V1.1;T.6.6;Application Management
Cross Journeys Exit Program;118;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-11;EXIT A PROGRAM;Career management;Job Board;Review the applications to a post-doctoral opportunity within the Alliance;Review the list of applications, select an application and see the documentations and the contact information.;Admin staff;V1.1;T.6.6;Application Management
Journey 1 Education;119;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-5;LECTURE & TUTO;Learning and teaching;Learning management;Produce online teaching materials ;Record or stream learning content through a unified platform, review tutorials and best practices, leverage templates to facilitate the recording, text videos, tag videos to specific weeks in my syllabus ;Professor;V1.1;T.2.2;Online Content Creation
Journey 1 Education;120;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-6;LECTURE & TUTO;Learning and teaching;Learning management;Upload my course's content ;Upload my class materials in different format (ppt, excel, pdf, video), organize the content in folders, map some content to each week of the semester. Hide some content as required ;Professor;V1.1;T.2.2;Content & File Management 
Journey 1 Education;121;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-7;LECTURE & TUTO;Learning and teaching;Learning management;Review my class's calendar ;View the upcoming events, select a month' view, weekly's view ;Student;V1.1;T.2.2;Course Calendar Management
Journey 1 Education;122;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-8;LECTURE & TUTO;Learning and teaching;Learning management;Track my students' progression ;Trigger alerts if a student is late with the completion of due assignments ;Professor;V1.1;T.2.2;Notification Management 
Journey 1 Education;123;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-9;LECTURE & TUTO;Learning and teaching;Learning management;Connect to my course's material in one place ;See the list of my registered online classes, select my class, overview of the course syllabus, available content, calendar and  professor ;Student;V1.1;T.2.2;Content & File Management 
Journey 1 Education;124;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-10;LECTURE & TUTO;Learning and teaching;Learning management;Navigate my course ;Navigate between the different weeks or folders to review the materials assigned to each week ;Student;V1.1;T.2.2;Course Navigation
Journey 1 Education;125;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-11;LECTURE & TUTO;Learning and teaching;Learning management;Access my course's online content ;Open my weekly online lectures (if available), preview and download;Student;V1.1;T.2.2;Content & File Management 
Journey 1 Education;126;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-12;LECTURE & TUTO;Learning and teaching;Learning management;Get notified for upcoming class's events ;Receive reminders for upcoming assignments, define the notifications' settings ;Student;V1.1;T.2.2;Notification Management 
Journey 1 Education;127;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-13;LECTURE & TUTO;Learning and teaching;Learning management;Connect to my live course ;;Student;V1.1;T.2.2;Live and recording course content
Journey 1 Education;128;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-14;LECTURE & TUTO;Learning and teaching;Learning management;Engage with my teacher during online lectures;Submit questions in the online class chat, option to hide my question from the rest of the class. During live lectures, opportunity to raise your hand to ask questions live ;Student;V1.1;T.2.2;Discussion Boards
Journey 1 Education;129;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-15;LECTURE & TUTO;Learning and teaching;Learning management;Communicate with students and professors on discussion board ;Post questions, reply and comments on questions, delete a comment, search the forum ;Student;V1.1;T.2.2;Discussion Boards
Journey 1 Education;130;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-16;LECTURE & TUTO;Learning and teaching;Learning management;Track my course progression on a dashboard ;Trigger alerts if I miss an assignment, indicate the completion level of my class, provide an overview of my grades;Student;V1.1;T.2.2;Personalized Dashboard & Progress Tracking 
Journey 1 Education;131;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-17;LECTURE & TUTO;Learning and teaching;Learning management;Access to my open-access online platform ;Connect to my learning module, review my progression so far;All users;V1.1;T.5.2;Course Navigation
Journey 1 Education;132;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-18;LECTURE & TUTO;Learning and teaching;Learning management;Access my online materials;Access the video content available for the class ;All users;V1.1;T.5.2;Live and recording course content
Cross Journeys Innovation;133;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-11;ENTREPRENEURSHIP;Learning and teaching;Learning management;Follow some virtual training entrepreneurship modules ;;Entrepreneur;V1.1;T.4.4;Live and recording course content
Cross Journeys Onboarding;134;INFORMATIONV1.1;INFORMATIONV1.1-25;INFORMATION;Learning and teaching;Learning management;Attend online training ;Upload a list in excel or csv format, manually update the list of trainings ;Admin staff;V1.1;T.6.1;Live and recording course content
Journey 2 Research Project Lifecycle;135;COLLABORATEV1.1;COLLABORATEV1.1-8;COLLABORATE;Collaboration & communication;M4C (Social Network);Create communities of practice around a research topic ;Create a community of practice, fill information of the community's interests and objectives, invite members;Researchers & PhD students ;V1.1;T.3.5;Community of Practice Management
Journey 2 Research Project Lifecycle;136;COLLABORATEV1.1;COLLABORATEV1.1-9;COLLABORATE;Collaboration & communication;M4C (Social Network);Invite external partners to join a community of practice ;Invite partners (companies, local agencies etc.) with external email addresses ;Researchers & PhD students ;V1.1;T.3.5;Invitation & Access Management 
Journey 2 Research Project Lifecycle;137;COLLABORATEV1.1;COLLABORATEV1.1-10;COLLABORATE;Collaboration & communication;M4C (Social Network);Join a community of practice ;Browse and search through the list of communities of practice across and join one;Researchers & PhD students ;V1.1;T.3.5;Search function
Journey 2 Research Project Lifecycle;138;COLLABORATEV1.1;COLLABORATEV1.1-11;COLLABORATE;Collaboration & communication;M4C (Social Network);Post in a community of practice ;Share document, create a post, reply to a post, search through posts, use tags ;Researchers & PhD students ;V1.1;T.3.5;Community of Practice Management
Journey 2 Research Project Lifecycle;139;COLLABORATEV1.1;COLLABORATEV1.1-12;COLLABORATE;Collaboration & communication;M4C (Social Network);Maintain libraries of documents in the community of practice;;Researchers & PhD students ;V1.1;T.3.5;Document Repository 
Journey 2 Research Project Lifecycle;140;COLLABORATEV1.1;COLLABORATEV1.1-13;COLLABORATE;Collaboration & communication;M4C (Social Network);Access libraries of documents in the community of practice;Search through the libraries, preview documents, download documents;Researchers & PhD students ;V1.1;T.3.5;Document Repository 
Journey 2 Research Project Lifecycle;141;COLLABORATEV1.1;COLLABORATEV1.1-14;COLLABORATE;Collaboration & communication;M4C (Social Network);Administer the communities of practice ;Review and approve the requests to create a community of practice, manage the access rights, delete dormant communities ;Admin staff;V1.1;T.3.5;Community of Practice Management
Journey 2 Research Project Lifecycle;142;PUBLISHV1.1;PUBLISHV1.1-1;PUBLISH;Collaboration & communication;M4C (Social Network);Request feedback on my article before publication ;Share a post in the community of practice or my announcement board with a link to the available publication ;Researchers & PhD students ;V1.1;Not assigned;Community of Practice Management
Journey 2 Research Project Lifecycle;143;PUBLISHV1.1;PUBLISHV1.1-2;PUBLISH;Collaboration & communication;M4C (Social Network);Share an article on the repository before publication;;Researchers & PhD students ;V1.1;Not assigned;Document Repository 
Journey 2 Research Project Lifecycle;144;PUBLISHV1.1;PUBLISHV1.1-3;PUBLISH;Collaboration & communication;M4C (Social Network);Provide an informal review on an article posted by a colleague ;Comment with a long text that can be structured in paragraph with different formatting styles;Researchers & PhD students ;V1.1;Not assigned;Document Repository 
Cross Journeys Ecosystem Interactions;145;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-7;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Register my profile ;Confirm the creation of a profile in the solution, export information from my personal page to M4C (Social Network);All users;V1.1;T.3.5;Profile Management 
Journey 2 Research Project Lifecycle;146;COLLABORATEV1.1;COLLABORATEV1.1-15;COLLABORATE;Collaboration & communication;M4C (Social Network);Share a post on my announcement board ;Create a post, include emoticons, delete a post ;All users;V1.1;T.3.5;Announcement Board
Journey 2 Research Project Lifecycle;147;COLLABORATEV1.1;COLLABORATEV1.1-16;COLLABORATE;Collaboration & communication;M4C (Social Network);React to a post on the announcement board ;Read the latest posts, reply to a post, comment with an emoticon ;All users;V1.1;T.3.5;Announcement Board
Cross Journeys Ecosystem Interactions;148;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-8;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Request the creation of a profile as a non-Ulysseus member;Create a profile with my email, update my profile with my name, my company's name or organization I represent, my role, my field of research (if applicable), upload a picture ;External users;V1.1;T.3.5;Profile Management 
Cross Journeys Ecosystem Interactions;149;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-9;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Validate the request to create a profile for external users ;Receive notifications when an external user is creating a profile, review the information, validate ;Admin staff;V1.1;T.3.5;Notification Management 
Cross Journeys Ecosystem Interactions;150;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-10;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Map profiles of external users to the correct account ;Assign the profiles (individual names) to the associated existing partner account / new account in the CRM;Admin staff;V1.1;T.3.5;Profile Management 
Cross Journeys Ecosystem Interactions;151;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-11;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Update my research profile in Ulysseus network;Update my profile: indicate my university, my lab, my name, my role, my field of research;All users;V1.1;T.3.5;Profile Management 
Cross Journeys Ecosystem Interactions;152;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-12;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Connect my profile to opened research social network ;Connect my Ulysseus research profile to my Research Gate profile, access to the publications available on Research Gate;Researchers & PhD students ;V1.1;T.3.5;Profile Management 
Cross Journeys Ecosystem Interactions;153;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-13;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Search profiles across all Ulysseus network (external and internal);Search existing accounts of external users based on the industry, location, field of interests / research, specialization, keywords;All users;V1.1;T.3.5;Search function
Cross Journeys Ecosystem Interactions;154;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-14;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Receive recommendations of profile based on my initial research ;;All users;V1.1;T.3.5;People and Group Recommendations
Cross Journeys Ecosystem Interactions;155;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-15;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Engage communication with the people of interests;Send messages, delete messages, reply to messages ;All users;V1.1;T.3.5;Community of Practice Management
Cross Journeys Ecosystem Interactions;156;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-16;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Push notifications to my community when I publish a new article;Receive a notification to allow the solution to notify my community when I publish an articles on one of the Open Data repositories ;Researchers & PhD students ;V1.1;T.3.5;Notification Management 
Cross Journeys Ecosystem Interactions;157;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-17;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Receive notifications when someone in my community is posting;;All users;V1.1;T.3.5;Notification Management 
Cross Journeys Ecosystem Interactions;158;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-18;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Change my notification settings to receive alerts on topics that interest me ;;All users;V1.1;T.3.5;Notification Management 
Cross Journeys Innovation;159;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-19;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;M4C (Social Network);Search through the Ulysseus network for experts ;Search through the directory for experts for advisory on IP management, financial management;Entrepreneur;V1.1;T.2.6;Search function
Cross Journeys Onboarding;160;APPLICATIONV1.1;APPLICATIONV1.1-10;APPLICATION;Application;Mobility;Maintain a catalog of standard learning agreements ;;Admin staff;V1.1;T.6.8;Content & File Management 
Cross Journeys Onboarding;161;APPLICATIONV1.1;APPLICATIONV1.1-11;APPLICATION;Application;Mobility;Apply for financial aid ;Fill my application for financial aid ;Student;V1.1;Not assigned;Application Submission
Cross Journeys Onboarding;162;APPLICATIONV1.1;APPLICATIONV1.1-12;APPLICATION;Application;Mobility;Before mobility: Fill my learning agreement application;Pre-fill the application with student information and registered classes for my experience abroad ;Student;V1.1;T.6.8;Application Submission
Cross Journeys Onboarding;163;APPLICATIONV1.1;APPLICATIONV1.1-13;APPLICATION;Application;Mobility;Before mobility: Review the outstanding learning agreement applications;Access the list of all the learning agreement applications, review the documents;Admin staff;V1.1;T.6.8;Learning Agreement Management 
Cross Journeys Onboarding;164;APPLICATIONV1.1;APPLICATIONV1.1-14;APPLICATION;Application;Mobility;Before mobility: Track my application ;View the status of my application, receive a notification if a document is missing;Student;V1.1;T.6.8;Application Tracking & Notification Management
Cross Journeys Onboarding;165;APPLICATIONV1.1;APPLICATIONV1.1-15;APPLICATION;Application;Mobility;Before mobility: Accept / reject a learning agreement;Request modifications on the learning agreement if required. Upon validation, generate the final learning agreement ;Admin staff;V1.1;T.6.8;Approval Workflow management
Cross Journeys Onboarding;166;APPLICATIONV1.1;APPLICATIONV1.1-16;APPLICATION;Application;Mobility;Sign my learning agreement ;Review the agreement and sign using electronic signature ;Student;V1.1;T.6.8;Electronic signature
Cross Journeys Onboarding;167;APPLICATIONV1.1;APPLICATIONV1.1-17;APPLICATION;Application;Mobility;Before mobility: Forward the application to MIC office for processing;Transfer electronically the signed final learning agreement to the relevant Erasmus authority ;Admin staff;V1.1;T.6.8;Approval Workflow management
Cross Journeys Onboarding;168;REGISTRATIONV1.1;REGISTRATIONV1.1-23;REGISTRATION;Application;Mobility;During mobility: Generate updated learning agreements if required based on the class selection ;Modify the learning agreement if the selection of classes differ from the initial learning agreement, review and validate the agreement ;Admin staff;V1.1;T.6.8;Approval Workflow management
Cross Journeys Ecosystem Interactions;169;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-20;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Online communication;Communicate remotely with the rest of Ulysseus ecosystem ;1 to 1, 1 to many, many to many audio and video calls;All users;V1.1;T.1;Audio and video call (1-1 / 1 to many)
Cross Journeys Ecosystem Interactions;170;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-21;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Online communication;Review my calendar before booking a meeting;;All users;V1.1;T.1;Calendar Synchronization
Journey 1 Education;171;GROUP PROJECTSV1.1;GROUP PROJECTSV1.1-5;GROUP PROJECTS;Collaboration & communication;Online communication;Schedule a virtual meeting with my team;Select a slot, send an invite ;Student;V1.1;T.1;Booking Meetings 
Journey 1 Education;172;GROUP PROJECTSV1.1;GROUP PROJECTSV1.1-6;GROUP PROJECTS;Collaboration & communication;Online communication;Attend a virtual meeting with my team;Attend a video call with my group to collaborate remotely, share my screen;Student;V1.1;T.1;Audio and video call (1-1 / 1 to many)
Cross Journeys Ecosystem Interactions;173;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-22;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Online communication;Manage my meetings;Request a new time for a meeting, cancel a meeting;All users;V1.1;T.1;Booking Meetings 
Cross Journeys Ecosystem Interactions;174;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-23;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Online communication;Create a group chat ;Search and select Ulysseus members to create a group chat, define the confidentiality level ;All users;V1.1;T.1;Group Chat
Cross Journeys Ecosystem Interactions;175;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-24;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Online communication;Engage in a group chat ;Write messages, comment on messages, delete, search messages ;All users;V1.1;T.1;Group Chat
Cross Journeys Ecosystem Interactions;176;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-25;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Online communication;Attend a meeting prof / student;Connect to the Visio available at the selected time if the meeting is online;Student;V1.1;T.1;Audio and video call (1-1 / 1 to many)
Cross Journeys Ecosystem Interactions;177;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-26;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Online communication;Engage with my professors;Review the list of available slots, select physical or online meeting, book a slot, receive a confirmation;Student;V1.1;T.1;Booking Meetings 
Cross Journeys Ecosystem Interactions;178;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-27;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Online communication;Engage with my students ;Upload a list of available timeslots for meetings (online or physical), receive an update when a slot is booked ;Professor;V1.1;T.1;Booking Meetings 
Cross Journeys Exit Program;179;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-12;EXIT A PROGRAM;Collaboration & communication;Online communication;Engage with student on their career ;Upload a list of available timeslots for meetings (online or physical), receive an update when a slot is booked ;Admin staff;V1.1;T.4.2;Booking Meetings 
Cross Journeys Exit Program;180;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-13;EXIT A PROGRAM;Collaboration & communication;Online communication;Engage with a career counsellor;Review the list of available slots, select physical or online meeting, book a slot, receive a confirmation;Student;V1.1;T.4.2;Booking Meetings 
Cross Journeys Innovation;181;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-12;ENTREPRENEURSHIP;Collaboration & communication;Online communication;Schedule a meeting with a coach / an expert ;Review the list of available slots, select physical or online meeting, book a slot, receive a confirmation;Entrepreneur;V1.1;T.2.6;Booking Meetings 
Cross Journeys Innovation;182;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-13;ENTREPRENEURSHIP;Collaboration & communication;Online communication;Attend a visio call with a coach ;Visio available at the selected time if the meeting is online;Entrepreneur;V1.1;T.2.6;Audio and video call (1-1 / 1 to many)
Cross Journeys Innovation;183;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-14;ENTREPRENEURSHIP;Collaboration & communication;Online communication;Schedule a meeting with an entrepreneur;"""Provide a list of available slots 
""";Researchers & PhD students ;V1.1;T.2.6;Booking Meetings 
Cross Journeys Innovation;184;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-15;ENTREPRENEURSHIP;Collaboration & communication;Online communication;Attend a visio call with the entrepreneurs ;"""Provide a list of available slots 
""";Researchers & PhD students ;V1.1;T.2.6;Booking Meetings 
Cross Journeys Onboarding;185;INFORMATIONV1.1;INFORMATIONV1.1-26;INFORMATION;Community & campus;Online event management;Organize informative sessions for students before admission starts;Upload the events' information, schedule and host informative sessions to provide an overview of the Ulysseus programs, the application process, admission requirements, a curriculum review.;Admin staff;V1.1;T.6.5;Events Creation
Cross Journeys Onboarding;186;INFORMATIONV1.1;INFORMATIONV1.1-27;INFORMATION;Community & campus;Online event management;Register to an informative session before admission starts ;"""Review the available slots, book a session, receive a confirmation email after I book , receive an event reminder 
""";Student;V1.1;T.6.5;Event Registration
Cross Journeys Onboarding;187;INFORMATIONV1.1;INFORMATIONV1.1-28;INFORMATION;Community & campus;Online event management;Attend an informative session before admission starts ;Host the welcome session -> participants can move around a virtual room, engage in smaller groups conversations, or listen to a conference;All users;V1.1;T.6.5;Online Event Hosting 
Cross Journeys Onboarding;188;REGISTRATIONV1.1;REGISTRATIONV1.1-24;REGISTRATION;Community & campus;Online event management;Schedule welcome session for students (and faculty members in mobility);Upload the events' information, schedule and host informative sessions to welcome students, share information on the city / university ;Admin staff;V1.1;T.6.5;Events Creation
Cross Journeys Onboarding;189;REGISTRATIONV1.1;REGISTRATIONV1.1-25;REGISTRATION;Community & campus;Online event management;Register to a welcome session ;Review the available slots, book a session, receive a confirmation email after I book , receive an event reminder ;All users;V1.1;T.6.5;Event Registration
Cross Journeys Onboarding;190;REGISTRATIONV1.1;REGISTRATIONV1.1-26;REGISTRATION;Community & campus;Online event management;Attend a virtual welcome session ;Host the welcome session -> participants can move around a virtual room, engage in smaller groups conversations, or listen to a conference;All users;V1.1;T.6.5;Online Event Hosting 
Journey 1 Education;191;GRADUATIONV1.1;GRADUATIONV1.1-4;GRADUATION;Community & campus;Online event management;Communicate the graduation calendar;Upload the graduation schedule ;Admin staff;V1.1;Not assigned;Events Creation
Journey 2 Research Project Lifecycle;192;COLLABORATEV1.1;COLLABORATEV1.1-17;COLLABORATE;Community & campus;Online event management;Schedule and create a networking event (Research Lunch) / PhD conferences ;Upload events information, indicate whether the event is virtual or physical, set a maximum of attendees, track the registration;Researchers & PhD students ;V1.1;T.3.3;Event Registration
Journey 2 Research Project Lifecycle;193;COLLABORATEV1.1;COLLABORATEV1.1-18;COLLABORATE;Community & campus;Online event management;Register for a networking event (Research Lunch) / PhD conferences ;Review the list of events organized for researchers, register, receive a confirmation  ;Researchers & PhD students ;V1.1;T.3.3;Event Registration
Journey 2 Research Project Lifecycle;194;COLLABORATEV1.1;COLLABORATEV1.1-19;COLLABORATE;Community & campus;Online event management;Attend  for a networking event (Research Lunch) / PhD conferences ;host the event -> participants can move around a virtual room, engage in smaller groups conversations, or listen to a conference;Researchers & PhD students ;V1.1;T.3.3;Online Event Hosting 
Cross Journeys Campus Life;195;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-5;CAMPUS LIFE;Community & campus;Online event management;Organize campus-wide events ;"""Schedule events :  upload events information (whether the event is virtual or physical), set a maximum of attendees, track the registration.
""";Admin staff;V1.1;T.2.7;Events Creation
Cross Journeys Campus Life;196;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-6;CAMPUS LIFE;Community & campus;Online event management;Recruit volunteers for an event ;Create opening slots to volunteer for an event, assign timeslots, add a description of the role ;Admin staff;V1.1;T.2.7;Events Creation
Cross Journeys Campus Life;197;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-7;CAMPUS LIFE;Community & campus;Online event management;Register as a volunteer for an event ;Review the open slots and the associated description and register, fill the required information ;Student;V1.1;T.2.7;Event Registration
Cross Journeys Campus Life;198;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-8;CAMPUS LIFE;Community & campus;Online event management;Register for a campus-wide event;Review the list of events organized across all the campus, register, receive a confirmation  ;All users;V1.1;T.2.7;Event Registration
Cross Journeys Campus Life;199;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-9;CAMPUS LIFE;Community & campus;Online event management;Attend a campus-wide virtual event ;Join the event -> participants can move around a virtual room, engage in smaller groups conversations, or listen to a conference;Student;V1.1;T.2.7;Online Event Hosting 
Cross Journeys Campus Life;200;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-10;CAMPUS LIFE;Community & campus;Online event management;Watch the event replay;Watch the replay of a past event (webinar format);Student;V1.1;T.2.7;Webinars
Cross Journeys Campus Life;201;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-11;CAMPUS LIFE;Community & campus;Online event management;Manage a live stream event ;Live stream from multiple sources in a multi-camera events, enable multiple speakers located in different locations ;Admin staff;V1.1;T.2.7;Live stream Events
Cross Journeys Exit Program;202;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-14;EXIT A PROGRAM;Community & campus;Online event management;Organize job fairs or informative sessions ;Schedule events :  upload events information (whether the event is virtual or physical), set a maximum of attendees, track the registration;Admin staff;V1.1;T.6.6;Events Creation
